id,style0,style1
215,7.206261469168094e-26,1.0
216,1.0,0.0
217,2.543736791831796e-19,1.0
218,6.080057637198198e-40,1.0
219,1.0,0.0
220,0.9999999999999996,4.2179038214150204e-16
221,1.0,0.0
222,1.670020591671084e-16,0.9999999999999998
223,1.1051473603976387e-08,0.9999999889485264
224,1.0,2.8477883045817514e-21
225,1.0,4.843488413930333e-37
226,1.0,1.593539494697846e-18
227,1.7765027755013655e-18,1.0
228,2.491139401374617e-14,0.9999999999999752
229,0.0,1.0
230,0.0,1.0
1115,1.0,7.20017121773084e-53
231,0.0,1.0
232,1.547977155523966e-53,1.0
233,0.9999999999998804,1.1969889993218854e-13
234,8.857316005089003e-26,1.0
235,8.90731864047278e-26,1.0
236,1.0,6.685781224920534e-24
237,4.3605785730784863e-07,0.9999995639421428
238,2.368290508654365e-56,1.0
239,1.4812080066177163e-15,0.9999999999999984
240,0.0,1.0
241,5.238519753149939e-25,1.0
242,0.003510994079787218,0.9964890059202128
243,0.0,1.0
244,0.9999999996374656,3.6253438055286106e-10
245,9.42990952888006e-32,1.0
246,3.4674398741227777e-29,1.0
247,3.12808206443903e-19,1.0
248,0.0,1.0
249,3.4719694969660064e-29,1.0
250,0.0,1.0
251,9.013122016580358e-25,1.0
252,3.7150370004033808e-06,0.9999962849629996
253,1.0,0.0
254,1.0117283625826251e-43,1.0
255,0.0,1.0
256,4.639472111162595e-31,1.0
257,0.0,1.0
258,1.5271017982320353e-17,1.0
259,0.0,1.0
260,0.0,1.0
261,6.282161099759017e-41,1.0
262,1.3237866262402036e-11,0.999999999986762
263,4.6819549191209025e-19,1.0
264,7.18412381759454e-20,1.0
265,0.9999999999662844,3.3715760119464774e-11
266,1.0,0.0
267,2.1066498477067566e-07,0.9999997893350152
268,0.9999999999885012,1.1498893207455177e-11
269,1.0,5.565263235627512e-20
270,0.0,1.0
271,0.9999999999999843,1.5645499601278605e-14
272,0.0,1.0
273,0.0,1.0
274,2.793583495669287e-31,1.0
275,0.0,1.0
276,4.1349739828980107e-13,0.9999999999995866
277,0.0,1.0
278,4.91259034090245e-15,0.9999999999999952
279,8.528968784688432e-36,1.0
280,0.0,1.0
281,1.0,0.0
282,0.9999999999999988,1.1648307788861518e-15
283,0.0,1.0
284,1.0,0.0
285,1.0,8.871763563967078e-20
286,1.4229095681813018e-27,1.0
287,0.0,1.0
288,0.0,1.0
289,1.0,0.0
290,1.0,0.0
291,0.0,1.0
292,1.0,1.2988215759191056e-18
293,2.1840564422241504e-08,0.9999999781594356
294,1.0,9.822771772217047e-24
295,5.11572401322684e-17,1.0
296,1.0,0.0
297,1.0,1.4823911744465192e-25
298,7.770366135299304e-09,0.9999999922296341
299,0.0,1.0
300,0.0,1.0
301,0.9999999999991468,8.534065827248891e-13
302,0.001868738372534066,0.998131261627466
303,3.1070822316276238e-06,0.9999968929177684
304,1.0,3.3767022421418015e-21
305,0.9999999999489522,5.104775548341448e-11
306,1.0,7.045015320933733e-19
307,1.996727963934641e-06,0.9999980032720359
308,1.0,1.2790467957129124e-21
309,1.0,0.0
310,0.00010414956993531946,0.9998958504300646
311,0.9999999999991688,8.313506973375215e-13
312,6.161947170394711e-22,1.0
313,0.0,1.0
314,1.0,0.0
315,0.9966842130214107,0.0033157869785891496
316,1.0,1.1154442343854608e-21
317,1.0,1.1864715880249966e-20
318,1.0,1.3209871580260524e-56
319,0.999999999999546,4.540844174681816e-13
320,0.0,1.0
321,1.0,0.0
322,0.9999999999999968,3.3884720517502635e-15
323,1.0,0.0
324,0.0,1.0
325,0.0,1.0
326,6.195941767823552e-13,0.9999999999993804
327,1.0,1.5621643358167117e-38
328,0.0,1.0
329,1.925934805674345e-21,1.0
330,0.9999999999513858,4.8614280166025634e-11
331,1.0,3.581078180153928e-49
332,1.0,0.0
333,1.0,4.480886044449079e-54
334,2.227213194547444e-05,0.9999777278680544
335,0.0,1.0
336,3.764022204488972e-15,0.9999999999999962
337,0.9999936345852096,6.3654147904953226e-06
338,1.0,0.0
339,0.999999999999827,1.7289148287539466e-13
340,0.03157287173070032,0.9684271282692996
341,1.0,2.3203489854188084e-41
342,0.0,1.0
343,0.0,1.0
344,1.0,0.0
345,0.9999999800237698,1.9976230291573583e-08
346,7.796136518544966e-13,0.9999999999992204
347,1.0,1.561133377606523e-123
348,1.0,2.385180727170754e-26
349,1.0,1.2915023358535727e-37
350,1.0,7.997635523056607e-46
351,0.0,1.0
352,1.8869829696162823e-09,0.9999999981130171
353,0.0,1.0
354,0.9999999915106068,8.489393268765725e-09
355,1.0,1.3589211583838154e-17
356,1.0,0.0
357,0.0,1.0
358,1.0,1.3116149827553995e-205
359,1.0096112105794445e-19,1.0
360,1.0,2.2238066186608424e-33
361,4.653493179173365e-10,0.9999999995346508
362,0.0013435229478774365,0.9986564770521223
363,0.9999999993636705,6.363295820394449e-10
364,0.0,1.0
365,1.8826937880562113e-11,0.9999999999811732
366,0.0,1.0
367,0.9999999999999291,7.096353031453469e-14
368,1.0,0.0
369,1.0,1.1641296328677864e-35
370,1.0,1.0256065297332871e-59
371,1.0,0.0
372,0.0,1.0
373,8.594159881514445e-16,0.9999999999999992
374,1.0,7.690669013764024e-56
375,1.0,5.1499781762455434e-24
376,1.0,2.4475775793866728e-23
377,2.460972914919171e-09,0.999999997539027
378,1.0,1.6651063037548652e-19
379,1.0,0.0
380,1.0,7.302566683770979e-26
381,0.0,1.0
382,1.0,2.218357195405948e-48
383,0.0,1.0
384,1.0,0.0
385,0.9999999999999998,1.3869624830705322e-16
386,5.0665667538245195e-28,1.0
387,1.0,0.0
388,0.0,1.0
389,0.0,1.0
390,3.505082918983317e-20,1.0
391,1.0,0.0
392,1.0,4.519881971748558e-33
393,3.7020985424778147e-07,0.9999996297901456
394,0.99999999999991,9.001866792528816e-14
395,0.9999999961520204,3.847979421531019e-09
396,1.0,0.0
397,0.9999999999996424,3.575238514219304e-13
398,2.5670172509674477e-09,0.9999999974329828
399,1.0,4.004035400624273e-80
400,1.0,0.0
401,0.0,1.0
402,6.689385999878957e-07,0.9999993310614
403,1.0,0.0
404,0.9999999999999996,4.572499390468315e-16
405,1.0,9.036125648693508e-53
406,0.0,1.0
407,1.0,1.5493203170390258e-17
408,1.0,1.284157543754918e-17
409,0.0,1.0
410,1.0499113830863016e-21,1.0
411,0.9999999999679112,3.208886421661723e-11
412,1.0,2.0384166260691767e-23
413,1.0,6.421659931535677e-35
414,3.1553520712264452e-30,1.0
415,1.0,1.816900756011408e-34
416,0.9999996899169408,3.100830591417714e-07
417,1.0,1.8142143779495516e-42
418,1.1543355409258574e-17,1.0
419,0.9999998490065042,1.5099349567269494e-07
420,2.5592054405310017e-07,0.999999744079456
421,0.9999737886468418,2.6211353158167678e-05
422,1.0,0.0
423,1.0,0.0
424,3.42356618506661e-19,1.0
425,1.0,6.2923993959700465e-50
426,1.0,8.314703432849034e-23
427,1.0,1.5795110334127787e-120
428,1.0,1.4956273612855916e-44
429,1.5291123537058842e-33,1.0
430,1.0,0.0
